level,rule,fold,classifier,feature_set,n_test_subjects,threshold,n_test,balanced_accuracy,sensitivity,specificity,macro_f1,auroc,auprc,tn,fp,fn,tp
participant,fixed_0.5,5,LightGBM,B1_time,32,0.5,32,0.525,1.0,0.05,0.3266888150609081,0.9166666666666667,0.8529300016432368,1,19,0,12
participant,selected,5,LightGBM,B1_time,32,0.929,32,0.8083333333333333,0.6666666666666666,0.95,0.82281284606866,0.9166666666666667,0.8529300016432368,19,1,4,8
recording,fixed_0.5,5,XGBoost,B1_time,32,0.5,312,0.7188034188034188,0.7350427350427351,0.7025641025641025,0.7069123840283715,0.7780845934692088,0.7467568259026346,137,58,31,86
recording,selected,5,XGBoost,B1_time,32,0.698,312,0.7170940170940171,0.5213675213675214,0.9128205128205128,0.7277389277389277,0.7780845934692088,0.7467568259026346,178,17,56,61
participant,fixed_0.5,5,XGBoost,B1_time,32,0.5,32,0.525,1.0,0.05,0.3266888150609081,0.9,0.8376861349578069,1,19,0,12
participant,selected,5,XGBoost,B1_time,32,0.943,32,0.8083333333333333,0.6666666666666666,0.95,0.82281284606866,0.9,0.8376861349578069,19,1,4,8
recording,fixed_0.5,5,LightGBM,B2_time_frequency,32,0.5,312,0.747008547008547,0.7863247863247863,0.7076923076923077,0.7313395219893308,0.8529476221783914,0.8346647267151309,138,57,25,92
recording,selected,5,LightGBM,B2_time_frequency,32,0.631,312,0.7504273504273504,0.7008547008547008,0.8,0.7486828928462577,0.8529476221783914,0.8346647267151309,156,39,35,82
participant,fixed_0.5,5,LightGBM,B2_time_frequency,32,0.5,32,0.575,1.0,0.15,0.4231177094379639,1.0,1.0,3,17,0,12
participant,selected,5,LightGBM,B2_time_frequency,32,0.966,32,0.9583333333333333,0.9166666666666666,1.0,0.9660657476139979,1.0,1.0,20,0,1,11
recording,fixed_0.5,5,XGBoost,B2_time_frequency,32,0.5,312,0.7324786324786325,0.7521367521367521,0.7128205128205128,0.7200848611506918,0.8481262327416174,0.8254677176689911,139,56,29,88
recording,selected,5,XGBoost,B2_time_frequency,32,0.66,312,0.7452991452991453,0.6752136752136753,0.8153846153846154,0.7461294862772695,0.8481262327416174,0.8254677176689911,159,36,38,79
participant,fixed_0.5,5,XGBoost,B2_time_frequency,32,0.5,32,0.6,1.0,0.2,0.4666666666666667,0.9958333333333333,0.9935897435897435,4,16,0,12
